#{"t_start": 1713105694.653431, "env_id": "None"}
r,l,t
-98.0,4500,19.77185
-198.0,4500,32.755851
-241.0,4123,44.554091
-96.0,4500,59.039245
-171.0,4500,71.744838
-261.0,4084,83.887369
98.0,4500,97.591177
-25.0,4500,111.028397
-233.0,4500,123.837606
-184.0,4500,137.022045
9.0,4500,150.204011
-234.0,2905,158.812729
-296.0,3191,172.300692
6.0,4500,189.049794
-211.0,4500,202.097564
-308.0,4500,215.389421
-326.0,3741,226.066806
-214.0,4500,240.078836
-22.0,4500,252.759156
-188.0,4447,265.238156
