#{"t_start": 1713105695.4968512, "env_id": "None"}
r,l,t
-232.0,3905,17.193024
-119.0,4500,31.912623
-195.0,4500,44.75111
-134.0,4500,58.199357
-18.0,4500,70.905955
-287.0,3600,81.855599
-233.0,3712,94.635244
-114.0,4500,110.188797
-285.0,3553,120.257578
-171.0,4500,136.181981
-105.0,4500,149.362725
5.0,4500,161.836525
-260.0,4137,174.053503
-154.0,4147,187.296459
-75.0,4500,201.254649
-230.0,4347,214.131645
-80.0,4500,227.022347
93.0,4500,239.233603
-11.0,4500,251.907206
-226.0,4015,263.272633
