#{"t_start": 1713105696.0113275, "env_id": "None"}
r,l,t
55.0,4500,18.408626
-155.0,4422,31.222593
-254.0,4132,43.218896
-185.0,4500,57.684425
-167.0,4370,70.086613
-118.0,4500,83.733009
-160.0,4500,96.23808
-266.0,4208,108.908929
-228.0,4500,122.481946
-112.0,4500,135.663108
-277.0,3621,146.408998
-50.0,4500,161.317784
-164.0,4500,174.542125
-123.0,4500,187.687145
-181.0,4500,200.744538
-205.0,4284,213.423578
-247.0,4018,225.353932
-93.0,4500,238.716712
-176.0,3949,249.936779
-214.0,4082,262.921625
