#{"t_start": 1713105693.615541, "env_id": "None"}
r,l,t
32.0,4500,20.81259
-149.0,4500,33.79404
-162.0,4500,46.636336
35.0,4500,60.075759
-179.0,4500,72.782585
-120.0,4500,86.133672
-97.0,4500,98.624553
-195.0,4238,111.385268
-176.0,4500,124.875263
24.0,4500,138.059078
-276.0,3755,149.169791
-254.0,4080,162.666154
-230.0,4500,176.937823
-211.0,4500,190.086873
-68.0,4500,203.136661
-271.0,4286,215.831941
-219.0,4500,228.896041
-90.0,4500,241.112266
-144.0,4500,253.792876
-86.0,4500,266.437381
