#{"t_start": 1713105693.0732973, "env_id": "None"}
r,l,t
-252.0,3707,19.157258
-222.0,3793,32.632429
-86.0,4500,47.173869
-120.0,4500,60.619998
-175.0,4500,73.327984
-130.0,4500,86.671358
-47.0,4500,99.167775
-191.0,4233,111.9121
-207.0,4285,124.775056
-138.0,4500,138.605998
-156.0,4500,151.783097
-190.0,4500,164.257055
-172.0,3800,175.5497
-199.0,4405,190.387188
-186.0,4500,203.677679
-169.0,4500,216.964739
-192.0,4208,228.745334
-226.0,4007,240.400746
-76.0,4500,254.330848
-314.0,4453,266.841853
