#{"t_start": 1713105696.1236145, "env_id": "None"}
r,l,t
-127.0,4500,18.297604
-108.0,4500,31.286094
-216.0,4270,43.502829
-273.0,4381,57.279131
-200.0,4500,70.27429
-294.0,3112,79.929883
-205.0,4500,96.116123
-104.0,4500,109.563427
-142.0,4500,122.362504
-253.0,3925,134.108836
-195.0,4500,148.737272
-197.0,4127,160.28394
-37.0,4500,174.430279
-273.0,4434,187.419575
63.0,4500,200.62738
-68.0,4500,213.916673
-59.0,4500,226.392549
-88.0,4500,238.606014
-295.0,3165,247.6732
-205.0,4409,263.674556
