#{"t_start": 1713105696.0303535, "env_id": "None"}
r,l,t
-147.0,4500,18.394119
-246.0,4045,30.292972
-44.0,4500,44.221235
-253.0,4500,57.664263
-171.0,4500,70.37192
-212.0,4282,82.996322
-312.0,3999,94.875058
-222.0,4500,109.652069
-131.0,4500,122.460189
-22.0,4500,135.644226
-183.0,4383,148.49736
-296.0,4195,160.528083
-137.0,4485,174.494898
-278.0,4293,187.135623
-195.0,4226,200.014019
-288.0,4500,214.009122
-42.0,4500,226.480876
-67.0,4500,238.697793
-261.0,4500,251.377237
12.0,4500,264.023798
