#{"t_start": 1713105695.9102533, "env_id": "None"}
r,l,t
-121.0,4500,18.514477
-43.0,4500,31.499877
-202.0,4500,44.339851
-224.0,4493,57.770014
-292.0,4500,70.488312
-328.0,3937,82.285793
-82.0,4500,96.332126
-167.0,4500,109.774687
-163.0,4500,122.576364
-106.0,4500,135.76367
-74.0,4500,148.951947
0.0,4500,161.418471
-145.0,4500,174.64264
-108.0,4500,187.788255
-149.0,4500,200.843145
-255.0,4500,214.127662
-143.0,4500,226.602513
-193.0,4500,238.820143
-239.0,4500,251.500576
-264.0,3922,262.606281
