#{"t_start": 1713105695.0588677, "env_id": "None"}
r,l,t
-16.0,4500,19.363913
-58.0,4500,32.350767
-265.0,4500,45.188763
-230.0,4500,58.634149
-226.0,4500,71.339688
-233.0,3967,83.210223
-101.0,4500,97.18795
-160.0,4236,109.929495
-185.0,4500,123.428779
-224.0,3820,134.848679
-64.0,4500,149.798317
-154.0,4500,162.272905
-143.0,4500,175.499024
-160.0,4500,188.645591
-171.0,4500,201.696187
-307.0,2592,209.916727
-67.0,4500,227.452593
-57.0,4500,239.668764
-3.0,4500,252.34452
-217.0,4369,264.638341
