#{"t_start": 1713105696.3335056, "env_id": "None"}
r,l,t
-199.0,4251,17.361528
-176.0,4416,30.880933
-117.0,4500,43.91684
-126.0,4500,57.358292
-42.0,4500,70.064728
-121.0,4500,83.414179
-183.0,4474,95.835566
-244.0,3658,107.283822
-19.0,4500,122.160547
-145.0,4500,135.341164
-252.0,4500,148.524579
-226.0,4499,160.994829
-221.0,4318,173.719402
-205.0,4500,187.36776
-44.0,4500,200.421486
-60.0,4500,213.704418
-161.0,4500,226.17789
-123.0,4500,238.394489
-274.0,3788,249.18399
-59.0,4500,263.724301
