#{"t_start": 1713105693.3762624, "env_id": "None"}
r,l,t
-51.0,4500,21.047545
-71.0,4500,34.036625
-26.0,4500,46.876481
-25.0,4500,60.316362
-134.0,4017,71.851673
-109.0,4500,86.363726
-201.0,4500,98.863686
35.0,4500,112.307106
-212.0,4500,125.109777
17.0,4500,138.297987
-154.0,4500,151.481822
-284.0,3422,161.314437
-133.0,4500,177.181629
-246.0,4259,189.694359
-115.0,4500,203.381755
-244.0,3458,213.805909
-192.0,4500,229.136568
-328.0,4189,240.583422
-103.0,4500,254.029508
-32.0,4500,266.679567
