#{"t_start": 1713113501.4151661, "env_id": "None"}
r,l,t
-10.0,4500,26.10563
-105.0,4500,43.758542
-243.0,4313,60.125127
-17.0,4500,78.465604
-131.0,4500,103.760174
-265.0,4500,121.307483
-328.0,3206,135.265173
-328.0,3424,153.699044
56.0,4500,181.512753
9.0,4500,198.95658
-82.0,4500,215.920056
30.0,4500,232.928399
-251.0,3679,256.678773
-150.0,4382,275.602335
-28.0,4500,293.452362
-22.0,4500,310.705772
-120.0,4500,335.952783
-120.0,4500,352.53563
82.0,4500,370.854319
-236.0,3699,386.944865
-3.0,4500,413.207356
79.0,4500,430.510264
-3.0,4500,447.743119
-294.0,3532,463.173619
-40.0,4500,491.416432
-162.0,4500,509.159147
-162.0,4500,526.96008
91.0,4500,543.319894
24.0,4500,568.699694
24.0,4500,585.58569
-161.0,4500,603.142886
-113.0,4500,619.972959
-29.0,4500,644.554694
4.0,4500,662.649735
147.0,4500,681.095407
131.0,4500,697.846675
