#{"t_start": 1713113502.3463595, "env_id": "None"}
r,l,t
-3.0,4500,25.172941
-60.0,4500,42.825938
-105.0,4500,59.6735
-219.0,4500,77.534592
-200.0,4500,102.827798
-139.0,4500,120.375928
-308.0,4500,137.458962
-263.0,4500,155.667418
-178.0,4250,179.9112
-17.0,4500,198.024914
-66.0,4500,214.984284
-70.0,4500,231.992043
-88.0,4500,257.730106
-106.0,4500,275.005045
-123.0,4500,292.521212
-137.0,4500,309.778537
-83.0,4500,335.017236
-110.0,4500,351.603478
5.0,4500,369.918581
-120.0,4500,388.047239
50.0,4500,412.278069
38.0,4500,429.583271
-133.0,4500,446.811416
59.0,4500,464.758656
56.0,4500,490.47998
96.0,4500,508.227244
-61.0,4500,526.024093
-31.0,4500,542.393891
-4.0,4500,567.767975
-4.0,4500,584.65522
-80.0,4500,602.214664
63.0,4500,619.037689
42.0,4500,643.622639
-95.0,4500,661.723249
96.0,4231,679.551973
-66.0,4500,696.91555
