#{"t_start": 1713113502.860742, "env_id": "None"}
r,l,t
67.0,4500,24.658565
76.0,4500,42.310564
-250.0,4335,58.736727
-10.0,4500,77.021479
-307.0,4500,102.31002
-224.0,4500,119.866262
-328.0,4125,136.075647
-167.0,4500,155.148455
-108.0,4500,180.071282
144.0,4500,197.510767
57.0,4500,214.469726
171.0,4175,230.690172
-119.0,4500,257.219588
62.0,4500,274.491802
-188.0,4500,292.011552
47.0,4500,309.259613
-101.0,4500,334.502723
-159.0,4500,351.089096
-254.0,4500,369.405657
-72.0,4500,387.53285
-59.0,4500,411.759507
125.0,4500,429.0642
-21.0,4500,446.30138
-125.0,4500,464.242652
-136.0,4211,489.23438
-148.0,4500,507.719292
129.0,4500,525.514578
-8.0,4500,541.874378
-25.0,4500,567.260159
119.0,4500,584.147032
-72.0,4500,601.694946
1.0,4500,618.524992
33.0,4500,643.111747
-221.0,3273,657.913808
35.0,4500,679.65237
53.0,4500,696.405432
