#{"t_start": 1713113502.837806, "env_id": "None"}
r,l,t
-211.0,4500,24.686024
63.0,4500,42.332965
22.0,4500,59.186622
-219.0,4500,77.047307
-328.0,3773,100.582868
-251.0,4500,119.888262
-193.0,4500,136.966587
-209.0,4500,155.176859
-159.0,4500,180.096521
-84.0,4500,197.534086
-131.0,4133,213.594755
49.0,4500,231.502038
-177.0,4500,257.242836
-152.0,4500,274.513323
160.0,4500,292.031971
22.0,4500,309.283062
-265.0,4496,334.518075
-158.0,4500,351.11207
-244.0,4185,368.555961
33.0,4500,387.55576
-117.0,4500,411.786953
182.0,4500,429.090559
93.0,4500,446.320433
73.0,4500,464.262678
20.0,4500,489.98912
69.0,4500,507.735914
-97.0,4500,525.532666
69.0,4500,541.901953
67.0,4500,567.277339
54.0,4500,584.162346
94.0,4500,601.71861
113.0,4500,618.552407
-54.0,4500,643.130088
-30.0,4500,661.22989
18.0,4500,679.676874
-40.0,4500,696.423643
