#{"t_start": 1713113503.0599573, "env_id": "None"}
r,l,t
-45.0,4500,24.459649
36.0,4500,42.11459
29.0,4500,58.961491
-110.0,4500,76.825167
-248.0,4500,102.11097
-254.0,4052,118.575934
-258.0,4500,136.742973
-328.0,3710,152.797879
80.0,4500,179.868255
-147.0,4500,197.316872
-117.0,4500,214.274161
36.0,4500,231.282784
36.0,4500,257.021131
-328.0,4210,273.509779
-75.0,4500,291.810673
-9.0,4500,309.061047
-221.0,4473,334.23956
52.0,4500,350.891139
-208.0,4500,369.205997
-166.0,4500,387.334139
-85.0,4500,411.56492
-36.0,4500,428.865224
-133.0,4500,446.098322
-188.0,4500,464.040434
-18.0,4500,489.76654
-191.0,4500,507.518003
-7.0,4500,525.310573
-134.0,4500,541.677896
199.0,3318,564.231675
-149.0,4500,583.941495
-28.0,4500,601.500907
-83.0,4500,618.327268
-71.0,4500,642.913502
56.0,4500,661.010871
-63.0,4500,679.450454
69.0,4500,696.206588
