#{"t_start": 1713113499.7537167, "env_id": "None"}
r,l,t
190.0,4500,27.765838
-71.0,4500,45.417223
-43.0,4500,62.271883
-13.0,4500,80.126774
-201.0,4500,105.417163
-238.0,4500,122.968693
-188.0,4500,140.051826
-296.0,3430,155.377067
-128.0,4500,183.174791
-127.0,3956,199.330681
-101.0,4500,217.578254
-71.0,4500,234.584834
-196.0,3642,258.251079
-301.0,4500,277.596049
-130.0,4500,295.113818
-225.0,4500,312.371841
52.0,4500,337.609334
-278.0,4078,353.189022
-35.0,4500,372.516274
-32.0,4500,390.64454
-22.0,4500,414.871151
220.0,4227,431.553712
40.0,4500,449.403886
-15.0,4500,467.346674
-45.0,4500,493.078162
-167.0,3920,509.340987
8.0,4500,528.62136
52.0,4500,544.986283
-107.0,4500,570.361712
-14.0,4500,587.25474
-105.0,4500,604.80226
-10.0,4500,621.632821
21.0,4500,646.220655
114.0,4500,664.311838
-85.0,4500,682.758675
285.0,2855,695.055416
