#{"t_start": 1713113501.7905126, "env_id": "None"}
r,l,t
31.0,4500,25.728584
-136.0,4500,43.379931
-175.0,4500,60.229347
-128.0,4500,78.089728
-307.0,4446,103.259403
-214.0,4500,120.940208
-326.0,4500,138.012067
-254.0,4500,156.218596
55.0,4500,181.141369
-42.0,4500,198.581156
-185.0,4500,215.540125
105.0,4500,232.547224
-143.0,4500,258.286157
39.0,4500,275.560421
-238.0,3330,290.318567
-114.0,4500,310.334505
-68.0,4500,335.577272
-123.0,4500,352.159594
50.0,4500,370.477711
-38.0,4500,388.603369
-144.0,4500,412.829772
-101.0,4500,430.134313
-179.0,4500,447.368251
159.0,4500,465.309786
-40.0,4500,491.034362
-47.0,4500,508.787517
-194.0,3983,525.261334
-83.0,4500,542.94515
-72.0,4500,568.332455
30.0,4500,585.218496
211.0,3689,600.598057
5.0,4500,619.597309
174.0,4500,644.18156
-44.0,4500,662.273548
124.0,4500,680.719805
-30.0,4500,697.470917
