#{"t_start": 1713113500.883295, "env_id": "None"}
r,l,t
-29.0,4500,26.640203
-34.0,4500,44.289756
-186.0,4500,61.143397
166.0,4500,79.001656
-294.0,3493,101.873323
-223.0,4500,121.838977
-213.0,4500,138.919242
-109.0,4500,157.125926
-72.0,4500,182.049407
-12.0,4500,199.488251
6.0,4500,216.449114
25.0,4500,233.45464
-89.0,4500,259.194075
-74.0,4500,276.464482
-182.0,4500,293.987406
-49.0,4500,311.237558
73.0,4500,336.480365
-123.0,4500,353.071006
-26.0,4500,371.381597
-10.0,4500,389.510427
61.0,4500,413.736948
-78.0,4500,431.041854
-39.0,4500,448.279335
-77.0,4500,466.222472
-54.0,4500,491.940877
8.0,4500,509.689959
10.0,4500,527.488532
-91.0,4500,543.856482
71.0,4500,569.236926
-140.0,4500,586.11838
97.0,4500,603.675184
-23.0,4500,620.502439
-154.0,4500,645.08482
-10.0,4500,663.180183
-24.0,4500,681.631731
42.0,4500,698.378524
