time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/loss,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
162000,-130.0,4500.0,,,,,,,,,,,,,,,
168000,-143.4,4227.4,,,,,,,,,,,,,,,
172032,,,7,308,557,,,,,,,,,,,,
174000,-186.2,4141.2,,,,0.17546646238770336,-8.065038993954659,0.5755615389334707,-0.09503614902496338,64,0.11177687,0.00025,-0.10115406905881247,-0.18165408074855804,0.2,,
180000,-109.2,4247.2,,,,,,,,,,,,,,,
186000,-55.4,4500.0,,,,,,,,,,,,,,,
192000,-45.2,4500.0,,,,,,,,,,,,,,,
196608,,,8,308,637,,,,,,,,,,,,
198000,-60.2,4462.0,,,,0.16830106113047805,-8.045047868043184,0.5825195473234999,-0.021222829818725586,68,0.11678638,0.00025,-0.10164689679548167,-0.18469735980033875,0.2,,
204000,-80.4,4500.0,,,,,,,,,,,,,,,
210000,-119.4,4379.0,,,,,,,,,,,,,,,
216000,-95.0,4500.0,,,,,,,,,,,,,,,
221184,,,9,307,719,,,,,,,,,,,,
