#{"t_start": 1713113500.8013902, "env_id": "None"}
r,l,t
-17.0,4500,26.718315
128.0,4500,44.367764
-54.0,4500,61.219465
-244.0,4500,79.084249
-277.0,4500,104.369441
-296.0,4093,120.926119
-326.0,4078,138.019567
-274.0,4500,157.207796
64.0,4500,182.134961
-147.0,4500,199.574561
-157.0,4500,216.532346
-13.0,4500,233.537207
-238.0,3628,257.164329
-41.0,4500,276.548239
71.0,4500,294.068017
-111.0,4500,311.323709
-54.0,4500,336.561787
-149.0,4500,353.15248
-80.0,4500,371.468034
-64.0,4500,389.596552
-97.0,4500,413.819057
-81.0,4500,431.12409
40.0,4500,448.355522
48.0,4500,466.298706
-51.0,4500,492.024538
126.0,4500,509.777143
-56.0,4500,527.568897
-28.0,4500,543.9346
23.0,4500,569.313421
31.0,4500,586.202515
62.0,4500,603.754565
74.0,4500,620.582301
-158.0,4337,644.72644
-116.0,4411,663.010606
-80.0,4314,681.281762
126.0,4500,698.464687
