#{"t_start": 1713113502.366199, "env_id": "None"}
r,l,t
-25.0,4500,25.156472
-54.0,4500,42.803647
74.0,4462,59.560367
82.0,4500,77.51622
-294.0,4500,102.807672
-161.0,4500,120.361187
-307.0,3944,136.133462
-129.0,4500,155.64749
-33.0,4500,180.560559
-105.0,4500,198.010273
-161.0,4311,214.523033
15.0,4500,231.972173
3.0,4500,257.710826
-85.0,4500,274.983794
-184.0,4292,292.014282
21.0,4500,309.754166
-46.0,4500,335.001032
-117.0,4500,351.58468
-60.0,4500,369.89848
-221.0,4500,388.033014
48.0,4500,412.257091
-14.0,4500,429.558867
-76.0,4500,446.795215
-121.0,4465,464.646385
4.0,4500,490.463395
-59.0,4500,508.207718
-62.0,4500,526.004107
-79.0,4500,542.373838
43.0,4500,567.752331
66.0,4500,584.638518
-44.0,4500,602.19455
77.0,4500,619.016977
-204.0,4500,643.604902
-46.0,4500,661.698924
90.0,4500,680.144248
-85.0,4500,696.896423
