#{"t_start": 1713113502.6125946, "env_id": "None"}
r,l,t
35.0,4500,24.910985
-90.0,4500,42.556879
10.0,4500,59.412353
57.0,4500,77.272622
-245.0,4500,102.55823
-228.0,4500,120.110228
-307.0,4500,137.194806
-317.0,4500,155.400282
-6.0,4500,180.314387
118.0,4500,197.763529
66.0,4500,214.722108
45.0,4500,231.729565
-264.0,4500,257.464634
-47.0,4500,274.740412
34.0,4500,292.255034
61.0,4500,309.508021
63.0,4500,334.754047
-91.0,4500,351.341658
186.0,4500,369.656821
-38.0,4500,387.785874
108.0,4500,412.007788
-13.0,4500,429.316935
5.0,4500,446.551157
-217.0,4500,464.492194
-44.0,4500,490.216105
83.0,4500,507.96461
-113.0,4500,525.757884
-205.0,4500,542.122727
73.0,4500,567.504336
-109.0,4500,584.388999
-43.0,4500,601.947687
-152.0,4477,618.712533
169.0,4471,643.282926
287.0,3045,657.574217
186.0,3421,668.061199
-89.0,4435,679.746934
-207.0,4500,696.649012
